data__id,data__lang,data__text,Topic,Stance
1347495838839238657,en,@PapaGlider @Jessica26307123 @MontyBoa99 @realDonaldTrump I believe some of our own were in on it.\n\nIt just took too damn long.\n\nhttps://t.co/0q2w6olvsJ,1,FAVOR
1347495838688440320,en,US Capitol: Police confirms death of officer injured in pro-Trump riot https://t.co/xPf1YkWfha,3,AGAINST
1347495838063284230,en,@HookRocky @NBCNews @NBCNewsTHINK At least we don’t kill them in treasonous riots at the Capitol.  That’s a MAGAT thing.,1,AGAINST
1347495834833747969,en,Mike Pompeo Says Capitol Riot Proves U.S. Isn't a Banana Republic https://t.co/Atl2zKMCML What a load of nonsense.  Criticise the critics for telling the truth.  This riot was not QUASHED by any means.  We now live in one of those shithole countries.,1,FAVOR
1347495834439606272,en,"US Capitol Attack: President Trump Can’t Handle Failures, Says Michelle Obama https://t.co/iSr0TS4oSP",1,AGAINST
1347495830027194368,en,"@mikeBinESP @mwallin05 @TwitterSafety @realDonaldTrump @RealTrumpJunior @IvankaTrump March on the Capitol and fight, with Junior abs his lawyer inciting even further! Proud boys stand back a d be ready! Covid is no more than the flu it will vanish by Easter then after the election! Inject disinfectant leading to cult members drinking bleach! There are so many!",1,FAVOR
1347495829582573569,en,Trump should be arrested to day watch ”MSNBC host drops f-bomb during nearly 8-minute long on-air tirade about riot\nhttps://t.co/njInr8BNAC”,1,FAVOR
1347495829481906177,und,https://t.co/YiWuZVf6bh,0,AGAINST
1347495828827488256,en,@theangiestanton Yaa you are right he didn’t tell any one to storm Capital— but said Capitol . Ok,1,AGAINST
1347495828320116737,en,How Republican lawmakers endangered their own colleagues during the Capitol siege https://t.co/CaGkOfcV5d,1,AGAINST
1347495826881449986,en,US Capitol: Police confirms death of officer injured in pro-Trump riot https://t.co/MTijAclwyH,3,AGAINST
1347495826457829376,en,"@ChipMitchell1 So much wrong with this: a) a police officer is DEAD because of this, b) there was mass destruction, c) they gave “Muslim terrorists” the playbook, d) it was the country’s Capitol building being breached with confederate flags, e) how does the head of a UNION hate democrats?",3,AGAINST
1347495825224552449,en,"This is why religion is dangerous. All religion.\n\n‘2020 was the year “QAnon became all of our problem” ‘\n\nWe see now how cults of personality become religions, just as Russia, China &amp; Cambodia did before. https://t.co/Rg6Ke6AQMT",1,FAVOR
1347495823001735174,en,"@realDonaldTrump You have 12 more days, I implore you to do the right thing. Don't let the violence at the capitol be your legacy. Formally conceded and help your supporters grieve this loss....",1,AGAINST
1347495822741696512,und,https://t.co/IsMVer5R8G,0,AGAINST
1347495819759423490,en,@MollyDKH @tedcruz “Mild”? A police officer was murdered. They stormed the capitol building. What are you on about?,3,FAVOR
1347495815124832257,en,@JoanieReb This is a pretty good explanation of what went down behind the scenes..\n\nhttps://t.co/fkr8dqaXdd,1,AGAINST
1347495814013325312,en,US Capitol: Police confirms death of officer injured in pro-Trump riot https://t.co/7DmLDbF8Oq,3,AGAINST
1347495811324792833,en,"Netanyahu Condemns ‘Disgraceful Rampage’ on Capitol, Hails Trump https://t.co/UFTV3oTdoE",1,AGAINST
1347495809265389568,en,"@DineshDSouza These tone deaf focks believed it was a riot because someone walked right into the capitol.  They were scared and thought people were ""coming for them"".  People were never going to attack or harm a congressman.  That is the narrative of the left! Unbelievable idiots.",4,AGAINST
1347495806908190720,en,"@RedState Haha. What’s the big deal? It’s really not that big an offense to attack the US Capitol in hopes of intimidating congress into overturning an election. \n\nI mean, we just did a little bit of seditious insurrection during our DC trip. Why all the pearl clutching?",1,FAVOR
1347495806224502785,en,How Republican lawmakers endangered their own colleagues during the Capitol siege https://t.co/qFshrf4XoX,1,AGAINST
1347495804131553281,de,"#ff #Pandemie,  #Capitol und #Globukalypse sind Gefahren u.a. durch #Schwurbel, #FakeNews, Wissenschaftsfeindlichkeit und müssen im Zaum gehalten werden. Also retweeted alle fleißig @Caethan13, @ardenthistorian &amp; @Natascha_Strobl, @NatalieGrams &amp; @Susannchen01 &amp; @AnthroBlogger",1,FAVOR
1347495802525134849,it,"@BMelgiovanni @olli_gu Era la stropiatura di Jake Angelo lo ""sciamano"" della assalto a Capitol Hill",1,FAVOR
1347495800608272384,en,"@realDonaldTrump You are a hypocrite. If your really had cared, you should have given permission to use National Guard already when Muriel Bowser requested it the day before. Instead you  incited your mob crowd to go wild on Capitol.\nThis is all an you. Concede now, loud and clear. No excuses.",1,FAVOR
1347495800566390784,en,US Capitol: Police confirms death of officer injured in pro-Trump riot https://t.co/A6CvVfxdCS,3,AGAINST
1347495798951481347,en,"""Trump Is Said to Have Discussed Pardoning Himself\n\nThe discussions occurred in recent weeks, and it was not clear whether he has brought it up since he incited supporters to march on the Capitol, where some stormed the site.""via @NYTimes https://t.co/wSzLCK4AiZ",1,AGAINST
1347495798842519552,en,@rob13567 @RepDianaDeGette @jcjax13 Trump's been one of the best presidents America's had. Terrific foreign and domestic policies; a great economy &amp; record low unemployment. Only idiots blame him for effects of a global pandemic. And he incited no violence at the Capitol. His win was stolen by fraud.,1,FAVOR
1347495794664898570,en,Taxpayers are going to have to foot the bill to repair the Capitol. \n\nWhy not a class action lawsuit to charge those expenses to soon-to-be private citizen Trump?  He incited it. He directed it. He didn't Stop It!,1,AGAINST
1347495793805189120,en,@ksorbs A #MAGA terrorist died while attempting a coup in Capitol Hill. Why should her name trend?,4,FAVOR
1347495792756584449,de,#Taliban #ISIS und #BokoHaram sollten der #USA ihre #Soldarität zeigen . Im Namen der #Demokratie und der #Freiheit  #HilfeFürUSA #Capitol #Trump,1,AGAINST
1347495791460454407,en,"@tedcruz I look forward to your expulsion from the Senate. You are just as responsible for the violence at the Capitol as Trump is. Both spreading lies, hate, and division among your own voters to rile them up into a frenzy and then point them at the Capitol building. Fuck you traitor",1,AGAINST
1347495789938016257,en,"And, even now, US extremist groups are using the Capitol Hill violence as a rallying cry for even more online/offline action -- ironically, going beyond rightwing influencers who have now lost control (if they ever had any) of the movement",1,FAVOR
1347495788230930432,en,Worrisome Signs the Capitol Breach was Planned to Discredit Trump Supporters: An Eyewitness Account https://t.co/vr9kexpmcp,1,AGAINST
1347495787660505089,und,https://t.co/iRzqwI7uEm,0,AGAINST
1347495786045698048,en,How a ‘March for Trump’ rally led to violent clashes at the Capitol\nhttps://t.co/ze2J8Gnz6B,1,AGAINST
1347495784057475072,en,@donwinslow @CapitolPolice Nick Knudsen Flag of United States\n@NickKnudsenUS\n · Jan 7\nCapitol Police Badge #1828,3,FAVOR
1347495782769979395,en,"Thread by @ncri_io: THREAD: NCRI is finding evidence of planning behind the recent storming of the Capitol Building. Evidence includes this image, found on Facebook in groups with over 150k followers, the Trump Trai...… https://t.co/DdoKH6cjCj",1,FAVOR
1347495782509903873,en,"Police officer injured in US Capitol riot dies, toll rises to five https://t.co/I6SksUtyvr",3,AGAINST
1347495782044340224,en,Seth Meyers Calls For Trump's Removal After Violent Insurrection at Capitol https://t.co/aRGnNE1I9W via @YouTube,1,AGAINST
1347495781293428736,en,@IndivisibleVV @LindseyGrahamSC @pambnme @realDonaldTrump Nice try idiot that is not the capitol,3,AGAINST
1347495778491752451,en,Please stop glorifying the siege on Capitol Hill. Stop calling it “exciting” and “fascinating”. These are N*zis. This is absolutely terrifying.,1,FAVOR
1347495776600150017,ca,"El debat sobre els gravíssims fets del Capitol , a parer meu, hauria de girar sobre si Trump n'ha estat l'instigador o només n'ha estat el catalitzador. Vull dir que l'Amèrica supremacista violenta i decebuda amb el ""sistema"" potser es la que ha creat Trump i no pas a l'inrevès.",1,AGAINST
1347495776545628161,en,"@InnocentOnPaper In CNN own words and leftists, people have the right to protest and take it to the Capitol if they want to ! ""Where does it say that protests have to be peacefull ?"" CNN - BLM protests",1,AGAINST
1347495775400468481,en,How Republican lawmakers endangered their own colleagues during the Capitol siege https://t.co/BwmmJyow79,1,AGAINST
1347495774104428545,en,US Capitol: Police confirms death of officer injured in pro-Trump riot https://t.co/ygvBmWd34C,3,AGAINST
1347495772959465472,und,@FoxNews https://t.co/ZoP1rmzy1Y #RemoveOrResign,1,AGAINST
1347495771889872897,en,No one will believe that. The entire world saw who the Terrorists are.\n\nRepublicans Blame ‘Antifa’ For Capitol Assault By Trumpists https://t.co/T5XgTLhqyo,1,FAVOR
1347495767531991040,en,"??? ‘We sh*tted away FOUR years’\n\nLeBron James vents at Donald Trump over Capitol disorder, claims black people have culture ‘stolen’ from them\n\nhttps://t.co/O9la9SbL4Z",1,AGAINST
1347495766361657346,en,Trump mob attack on the Capitol: 10 urgent security questions that need answers https://t.co/CpfDYwTyR8,1,FAVOR
1347495765422317569,en,Police officer’s death intensifies Capitol siege questions &gt;&gt; https://t.co/2ojK7lNlno,3,AGAINST
1347495764822470657,tl,Alamin ang detalye ng marahas na paglusob ng mga Trump supporters sa US Capitol.\nhttps://t.co/xl8yH3J07t,1,AGAINST
1347495764780490752,en,@lilo623 @thejaydenxander Peaceful? Tell that to the capitol police officer that died after being struck in the head with a fire extinguisher not to mention the 50 others that were injured in this riot. #AshliBabbitt,3,FAVOR
1347495763631169540,en,"""Trump Is Said to Have Discussed Pardoning Himself\n\nThe discussions occurred in recent weeks, and it was not clear whether he has brought it up since he incited supporters to march on the Capitol, where some stormed the site.""via @NYTimes https://t.co/Sl4cCaDMXn",1,AGAINST
1347495763421630464,en,US allies say Trump attempted coup with help from federal law enforcement - Business Insider https://t.co/wnTKh9D7w3,1,AGAINST
1347495761240608770,en,@merino_fred @JaySan2k1 @MeghanMcCain “Run-of-the-mill Republicans” often look exactly like the ones that stormed the Capitol.,1,AGAINST
1347495760762445825,en,Girls with boyfriends be postin the most sus shit. Y’all got capitol building defense on your girls,0,FAVOR
1347495755255312384,en,@HaydenFHaskins @Jake_McQ @travis_view @washingtonpost It was the @WashTimes and the story is still there with a correction and an apology to XRVision prominently displayed. https://t.co/XtnqE4RwCT,1,FAVOR
1347495752105402368,en,Ted Cruz licked Donald Trump's ass so violently that a Capitol police officer and 4 others died\n\n#TedCruzKilledaCop,3,AGAINST
1347495745012731904,en,I was actually relieved that I hadn't heard about some treasonous asshole wandering around placing pipe bombs....WAS being the operative word\nhttps://t.co/lYd2xdp0QR,0,FAVOR
1347495742471077889,en,"Something tells me you have not thought through what it means that the US is now an object of mockery in China, Russia, and Iran; the secrets in our capitol--as I type--being poured over by the Kremlin and the Kuomintang;",1,AGAINST
1347495741246332928,und,https://t.co/HaGok6JwLy,0,AGAINST
1347495740021628929,en,@Slothboy615 @GeeksGamersCom Damn! That should have happened the the Capitol Hill riots!,1,FAVOR
1347495738402598912,en,"Are we really penalizing the officer who shot a Terrorist invading the capitol when he was trying to defend others. Feel awful about the loss, but really? Hipocracy",3,AGAINST
1347495736536047617,und,https://t.co/JiniMQr6KQ,0,AGAINST
1347495735600828418,en,"President Trump is ‘in a dark place’ as resignations thin the ranks around him and calls grow for his removal from office, one adviser says  https://t.co/8mNdt6N0Db via @WSJ",1,AGAINST
1347495734527074306,en,"@TheTorontoSun @anthonyfurey @brianlilley @uspoli 4 - what happened at the Capitol building was disgraceful.  But don't you think that some of your judgements, after a day or 2, when more info will become available would be more prudent?",1,FAVOR
1347495729749778433,en,@gtconway3d Surely hotels in the area can see when they’re getting an influx of reservations that something’s about to go down. They should be working with capitol police to share intell.,3,FAVOR
1347495729338540036,en,@camerondickqld How do you have time to tweet this rubbish? I'd have wagered you were in DC storming the Capitol...,1,AGAINST
1347495728327884802,en,"Biden Claims BLM Protesters Would Have Been Treated 'Very, Very Differently' by Capitol Police via @WestJournalism https://t.co/gKYdewYZnY",3,AGAINST
1347495725647552513,en,"@InHellSatan @ARiftRaft @bryan112210 @AOC Being inconvenienced by a traffic jam is not the same as murdering cops and looting our Capitol, genius.",1,AGAINST
1347495724259356672,en,"@GovernorTomWolf You got away with stealing an election! Aren't you the good leftist! Your baby killing goons did a good job at the capitol! Now, where's that senior  relief in taxes you promised sooo many years ago? A pittance REBATE is hardly relief! Another lockdown? Goody!",1,AGAINST
1347495722162262017,en,US allies say Trump attempted coup with help from federal law enforcement - Business Insider https://t.co/fyX1IJVull,1,AGAINST
1347495722057306114,en,@LisaRules I believe this is from the last Georgia rally not during the attack on the Capitol.,2,FAVOR
1347495720199327744,en,"We always prepare to fight the LAST WAR. \n\nDC cops prepared for nightime skirmishes. The CAPITOL POLICE HADN’T BEEN OVERRUN BEFORE.\n\n2 excellent W Post articles show: DC &amp; Pentagon tried to avoid militarized response. But as that changed, N Guard approval &amp; deployment took hours.",1,FAVOR
1347495714390159362,en,"@AOC Ted Cruz should keep quiet, because after what happened to the Capitol, he could be labelled as pro-terrorist",3,AGAINST
1347495713752690690,en,"@ralph_brooker @ColinCharlton8 There will need to be, Biden/Harris, essentially have one term to cohere a clear majority.  And after the storming of the capitol even the US is now talking about regulating divisive social media.",1,FAVOR
1347495713752674304,en,@cspan @KamalaHarris They should have named it Capitol Autonomous Zone.\nA winter of peace and love.,1,AGAINST
1347495711953227777,en,@elizaorlins @AyannaPressley ?????? What makes this #terrorist #attack on the #Capitol &amp; our Gov’t even worse is that it was orchestrated by our own #POTUS @realDonaldTrump!#ArrestTrumpNow #Traitor #ImpeachTrumpNow #invokethe25th #TrumpCoup @FBI @VP @Cabinet @SpeakerPelosi @senatemajldr Why is he still here?,1,AGAINST
1347495710627926016,en,"@hodgetwins He is correct, they would have left them burn down the Capitol building",0,FAVOR
1347495710183354369,en,"Trump has brought you all into disrepute,waved his fists at the U.S electoral system &amp; institutions &amp; you stand by &amp; do nothing?He's responsible for the deaths of 5 ppl &amp; criminal damage at the Capitol,but you dont remove him?Allow him to be present at @JoeBiden 's Inauguration?",1,FAVOR
1347495701723361281,en,"US allies say Trump attempted coup with help from federal law enforcement - Business Insider   This seems likely given, despite ample warning from sources including tRumps incitement, capital police are said to have “planned only for a free speech event” https://t.co/mOzjbg5Luh",1,AGAINST
1347495701513601029,en,Trump has blood on his hands https://t.co/wlCXwofOwF,1,AGAINST
1347495700016324612,en,"@RobyDianaroby02 Hola, here is your unroll: A cell phone recording of a portion of now-deleted video. “We’re in! We’re in! Derrick Evans is in the Capitol!” Here… https://t.co/mvPNSCSlvb Enjoy :) ??",1,AGAINST
1347495698929954817,en,"@helen_sabal Cut the Yiddish, it's insulting! \n\nNo one is saying anything about the violence at BLM rallies. No elected official supported the violence. The peaceful protests were co-opted by trouble makers! Not like The Mob which stormed out Capitol Building! You've been lied to!",1,FAVOR
1347495694311907328,en,"What’s true is that the kind of angry white man, white supremacy at the center of the movement we saw yesterday is emboldened by their racial status. How The Storming Of The Capitol Was — And Wasn't — About Police https://t.co/uQxkEfrmpW",3,FAVOR
1347495691858423814,en,Capitol Hill protesters now realising their shocking 5mins of fame was not worth it and some if whom known neo Nazis \n\nPrison awaits for some while also losing their jobs,1,AGAINST
1347495688339382274,en,@AP They need to bring charges against the capitol police that aided &amp; abetted who stood by &amp; let colleagues be beaten as Capitol was besieged-this was not random -among the chaos there were plans that need to be uncovered,1,FAVOR
1347495687399870465,en,@HawleyMO you have first amendment right to self publish @simonschuster should fight vigorously as you had your demon terrorists do at the Capitol. Hawley you and your kind are cancers of the UNTIED states of America.,1,FAVOR
1347495684631629824,en,@ClutterOf @IndoorCatRayr @JillianBSN They were sweeping the interior. There were bombs found inside the Capitol. And remember the entire govt was IN there. Except for a freaking maniac President who doesn’t give a shit about America. My point is don’t judge what u dk. We dont hv all the details yet.,2,AGAINST
1347495680953167873,en,Police Failures Spur Resignations and Complaints of Double Standard https://t.co/gXsIkkYK1T,3,AGAINST
1347495680886108160,en,"@RandyRRQuaid A large peaceful rally(like all other MAGA rallys are) was ruined by outside radical groups who broke into the Capitol. 99% of the people who went there were good, hard working people walking outside with flags.The outside professional agitators achieved what they set out to do.",1,AGAINST
1347495680777052160,en,Jimmy Kimmel on Angry Trump Mob Storming the Capitol https://t.co/zgQg6EYFm5 via @YouTube,1,AGAINST
1347495673986392064,en,"""Very few people were arrested for the breach, one person said, because officers didn’t have enough backup to take the time to arrest and detain them."" \nhttps://t.co/8GOCO6NS4E",1,AGAINST
1347495673764184066,en,‘Be There. Will Be Wild!’: Trump All but Circled the Date https://t.co/HKntzlQ5ed,1,AGAINST
1347495673638383616,en,Trump Supporters Breach Capitol https://t.co/w7V8vLQ7LU via @grahamelwood,1,AGAINST
1347495669855105024,en,QAnon and the storm of the U.S. Capitol: The offline effect of online conspiracy theories https://t.co/eM7iihYLtH via @ConversationCA,1,FAVOR
1347495667397251074,en,How the U.S. Capitol Police were overrun in a ‘monumental’ security failure https://t.co/xywqRIcoE9,3,AGAINST
1347495666256408583,en,@StephenKing The wall sure did not keep people from scaling the Capitol wall in Washington.,1,AGAINST
1349219768084140032,en,"Before Capitol Riot, Republican Lawmakers Fanned the Flames https://t.co/hdNnZTAXgn",3,AGAINST
1349219764980174850,en,"@Wolfe321 We use them for bundling cords, tying trees to stakes, etc. Small ones though. Not the size that they took to the Capitol.",1,FAVOR
1349219763797557249,en,Man arrested at WA capitol part of group that breached gate at governor’s mansion https://t.co/Ppj40UW3kV,1,FAVOR
1349219759586500608,en,"Digital photography provides near-instant gratification, but it comes at a cost. This circles around to what happened at the U.S. Capitol last week. Please give me a few minutes to explain. https://t.co/8ANXBzz3qN",1,AGAINST
1349219758881718272,en,"@RepBoebert @TwitterSafety cancel Boebert's account. She is a danger to the USA\n""Prohibited Items | United States Capitol Police"" https://t.co/IwswSHUCEM.",3,AGAINST
1349219756314865664,und,@nanci_murdock @justinhendrix https://t.co/5BAQundNPt,0,AGAINST
1349219753215275008,en,"I met the author Zangas in DC, good man. https://t.co/Oc8mfWwSQG",1,FAVOR
